Date;Specific Humidity;Relative Humidity;Temperature;Precipitation
1.1.2000;8.06;48.25;23.93;0.0
1.2.2000;8.73;50.81;25.83;0.11
1.3.2000;8.48;42.88;26.68;0.01
1.4.2000;13.79;55.69;22.49;0.02
1.5.2000;17.4;70.88;19.07;271.14
1.6.2000;19.53;84.19;7.91;313.67
1.7.2000;18.8;88.5;6.67;820.45
1.8.2000;18.86;88.44;7.07;362.38
1.9.2000;18.43;86.12;10.63;97.85
1.10.2000;16.72;78.38;15.38;63.41
1.11.2000;12.02;63.69;17.48;4.37
1.12.2000;7.39;44.56;20.09;11.25
1.1.2001;8.06;45.81;22.94;0.0
1.2.2001;7.57;41.56;22.7;0.0
1.3.2001;11.29;55.56;20.97;0.03
1.4.2001;12.27;49.69;22.73;1.57
1.5.2001;16.6;62.44;16.03;29.11
1.6.2001;19.1;81.94;9.83;510.09
1.7.2001;19.23;89.0;5.98;622.31
1.8.2001;18.92;90.94;5.47;429.62
1.9.2001;18.68;87.69;10.91;155.88
1.10.2001;16.72;80.19;14.76;120.24
1.11.2001;12.51;66.56;18.25;6.15
1.12.2001;9.83;56.44;17.97;0.0
1.1.2002;8.18;51.06;23.58;0.03
1.2.2002;7.75;39.31;25.44;0.11
1.3.2002;9.77;43.44;23.32;0.47
1.4.2002;12.88;50.12;21.04;2.06
1.5.2002;16.85;60.44;19.38;8.63
1.6.2002;19.17;78.06;13.12;498.92
1.7.2002;18.92;85.12;6.26;126.77
1.8.2002;18.86;89.88;6.24;581.79
1.9.2002;17.88;85.75;12.04;87.71
1.10.2002;15.81;71.75;17.16;17.29
1.11.2002;11.17;57.0;18.57;2.59
1.12.2002;8.67;48.75;23.45;0.21
1.1.2003;8.48;43.25;25.19;0.03
1.2.2003;9.34;48.12;21.83;8.41
1.3.2003;9.09;42.19;23.27;0.11
1.4.2003;13.24;52.44;21.49;0.76
1.5.2003;15.69;58.44;20.51;0.01
1.6.2003;19.53;79.75;14.93;710.1
1.7.2003;20.2;89.81;5.22;584.85
1.8.2003;19.23;89.5;5.56;380.55
1.9.2003;18.68;88.94;7.65;233.14
1.10.2003;15.87;76.0;15.73;50.96
1.11.2003;13.43;69.81;16.23;1.1
1.12.2003;9.64;56.44;20.71;0.16
1.1.2004;8.67;51.94;22.16;0.37
1.2.2004;7.51;38.88;24.88;0.03
1.3.2004;8.73;37.19;23.07;0.0
1.4.2004;14.04;57.25;18.28;0.06
1.5.2004;16.91;62.81;21.23;92.28
