Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation
2000,1,1,8.06,48.25,23.93,0
2000,2,1,8.73,50.81,25.83,0.11
2000,3,1,8.48,42.88,26.68,0.01
2000,4,1,13.79,55.69,22.49,0.02
2000,5,1,17.4,70.88,19.07,271.14
2000,6,1,19.53,84.19,7.91,313.67
2000,7,1,18.8,88.5,6.67,820.45
2000,8,1,18.86,88.44,7.07,362.38
2000,9,1,18.43,86.12,10.63,97.85
2000,10,1,16.72,78.38,15.38,63.41
2000,11,1,12.02,63.69,17.48,4.37
2000,12,1,7.39,44.56,20.09,11.25
2001,1,1,8.06,45.81,22.94,0
2001,2,1,7.57,41.56,22.7,0
2001,3,1,11.29,55.56,20.97,0.03
2001,4,1,12.27,49.69,22.73,1.57
2001,5,1,16.6,62.44,16.03,29.11
2001,6,1,19.1,81.94,9.83,510.09
2001,7,1,19.23,89,5.98,622.31
2001,8,1,18.92,90.94,5.47,429.62
2001,9,1,18.68,87.69,10.91,155.88
2001,10,1,16.72,80.19,14.76,120.24
2001,11,1,12.51,66.56,18.25,6.15
2001,12,1,9.83,56.44,17.97,0
2002,1,1,8.18,51.06,23.58,0.03
2002,2,1,7.75,39.31,25.44,0.11
2002,3,1,9.77,43.44,23.32,0.47
2002,4,1,12.88,50.12,21.04,2.06
2002,5,1,16.85,60.44,19.38,8.63
2002,6,1,19.17,78.06,13.12,498.92
2002,7,1,18.92,85.12,6.26,126.77
2002,8,1,18.86,89.88,6.24,581.79
2002,9,1,17.88,85.75,12.04,87.71
2002,10,1,15.81,71.75,17.16,17.29
2002,11,1,11.17,57,18.57,2.59
2002,12,1,8.67,48.75,23.45,0.21
2003,1,1,8.48,43.25,25.19,0.03
2003,2,1,9.34,48.12,21.83,8.41
2003,3,1,9.09,42.19,23.27,0.11
2003,4,1,13.24,52.44,21.49,0.76
2003,5,1,15.69,58.44,20.51,0.01
2003,6,1,19.53,79.75,14.93,710.1
2003,7,1,20.2,89.81,5.22,584.85
2003,8,1,19.23,89.5,5.56,380.55
2003,9,1,18.68,88.94,7.65,233.14
2003,10,1,15.87,76,15.73,50.96
2003,11,1,13.43,69.81,16.23,1.1
2003,12,1,9.64,56.44,20.71,0.16
2004,1,1,8.67,51.94,22.16,0.37
2004,2,1,7.51,38.88,24.88,0.03
2004,3,1,8.73,37.19,23.07,0
2004,4,1,14.04,57.25,18.28,0.06
2004,5,1,16.91,62.81,21.23,92.28
2004,6,1,19.23,81.31,11.2,376.96
2004,7,1,19.35,87.25,6.24,663.26
2004,8,1,18.98,90.62,5.7,949.59
2004,9,1,18.86,87,10.34,225.06
2004,10,1,15.2,76.69,14.52,27.3
2004,11,1,13.06,66.5,16.66,4.29
2004,12,1,9.34,54.44,18.29,0.01
2005,1,1,8,49.5,22.85,3.47
2005,2,1,8.54,46.69,26.7,0
2005,3,1,10.19,48.5,24.38,0.41
2005,4,1,11.96,48.5,23.25,13.56
2005,5,1,15.87,59.81,18.37,15.65
2005,6,1,19.17,76.12,12.55,799.32
2005,7,1,20.14,91.12,4.91,1095.38
2005,8,1,19.17,90.19,6.21,432.24
2005,9,1,19.47,92.06,9,776.41
2005,10,1,15.62,76.81,16.19,75.44
2005,11,1,11.54,66.81,17.23,0
2005,12,1,9.46,58.5,19.3,0
2006,1,1,8.24,49.38,23.38,0
